품목코드,품목명,Tier,가중치,모델,pred_2026-08,보정치(레벨),보정후_pred_2026-08,보정후_pred_2026-08(R-ONE반영)
A011010,쌀,A,4.2,비계절ETS,116.35490465899694,0.0,116.35490465899694,116.35490465899694
A011020,현미,A,0.4,비계절ETS,126.92350480575116,0.0,126.92350480575116,126.92350480575116
A011030,찹쌀,A,0.5,비계절ETS,130.8700000767827,0.0,130.8700000767827,130.8700000767827
A011040,보리쌀,A,0.2,비계절ETS,177.44667353940193,2.073184832164785,176.20276264010306,176.20276264010306
A011050,콩,A,0.5,비계절ETS,104.28548268277086,0.0,104.28548268277086,104.28548268277086
A011060,땅콩,A,0.1,비계절ETS,120.98978878662751,0.0,120.98978878662751,120.98978878662751
A011070,혼식곡,A,0.4,비계절ETS,121.75300957788362,0.0,121.75300957788362,121.75300957788362
A011080,밀가루,A,0.1,비계절ETS,128.7641304197163,0.0,128.7641304197163,128.7641304197163
A011090,국수,A,0.7,비계절ETS,147.73665392348687,0.0,147.73665392348687,147.73665392348687
A011100,라면,A,2.4,비계절ETS,127.03760521247273,0.0,127.03760521247273,127.03760521247273
A011110,당면,A,0.2,비계절ETS,139.67782682669937,0.0,139.67782682669937,139.67782682669937
A011120,두부,A,1.2,비계절ETS,107.6113235635964,0.0,107.6113235635964,107.6113235635964
A011130,시리얼,A,0.4,비계절ETS,121.73621557504968,0.0,121.73621557504968,121.73621557504968
A011140,부침가루,A,0.6,비계절ETS,141.98790003913132,0.0,141.98790003913132,141.98790003913132
A011150,케이크,A,1.6,비계절ETS,132.37990300456855,0.220205207842819,132.24777987986286,132.24777987986286
A011160,빵,A,6.8,비계절ETS,138.80116724485868,0.375576560905903,138.57582130831514,138.57582130831514
A011170,떡,A,1.9,비계절ETS,130.73847411343988,0.0,130.73847411343988,130.73847411343988
A011180,파스타면,A,0.1,비계절ETS,133.41311092366445,0.0,133.41311092366445,133.41311092366445
A012010,국산쇠고기,A,8.6,비계절ETS,110.24176140890916,0.0,110.24176140890916,110.24176140890916
A012020,수입쇠고기,A,3.1,비계절ETS,144.31546764364117,0.8620845033847454,143.79821694161032,143.79821694161032
A012030,돼지고기,A,9.8,비계절ETS,134.65664217403975,0.0,134.65664217403975,134.65664217403975
A012040,닭고기,A,1.5,비계절ETS,134.94204844391115,0.0,134.94204844391115,134.94204844391115
A012050,소시지,A,2.0,비계절ETS,120.95477719742992,-0.3542344040628933,121.16731783986764,121.16731783986764
A012060,햄및베이컨,A,2.7,비계절ETS,126.15077575923304,0.0,126.15077575923304,126.15077575923304
A012070,기타육류가공품,A,0.9,비계절ETS,138.06325992671086,0.0,138.06325992671086,138.06325992671086
A013110,마른멸치,A,0.5,비계절ETS,109.86611304681308,0.0,109.86611304681308,109.86611304681308
A013120,마른오징어,A,0.2,비계절ETS,126.28471526465964,0.238716223961011,126.14148553028303,126.14148553028303
A013140,오징어채,A,0.2,비계절ETS,142.31521664884977,0.0,142.31521664884977,142.31521664884977
A013150,북어채,A,0.4,비계절ETS,139.38000741263858,0.0,139.38000741263858,139.38000741263858
