품목코드,품목명,Tier,가중치,pred,보정치,pred_corr
A011010,쌀,A,4.2,116.60882957664472,0.0,116.60882957664472
A011020,현미,A,0.4,128.9147292687389,0.0,128.9147292687389
A011030,찹쌀,A,0.5,134.97199996264578,0.0,134.97199996264578
A011040,보리쌀,A,0.2,195.99036513974457,1.4408678366378165,195.12584443776188
A011050,콩,A,0.5,104.18877258503915,0.40506071643697555,103.94573615517696
A011060,땅콩,A,0.1,120.44784121236403,0.0,120.44784121236403
A011070,혼식곡,A,0.4,120.7337999592208,0.0,120.7337999592208
A011080,밀가루,A,0.1,127.99579881810092,0.0,127.99579881810092
A011090,국수,A,0.7,144.82307773258202,0.0,144.82307773258202
A011100,라면,A,2.4,126.47863772167256,0.0,126.47863772167256
A011110,당면,A,0.2,135.55469466604944,0.0,135.55469466604944
A011120,두부,A,1.2,108.3208701190431,0.0,108.3208701190431
A011130,시리얼,A,0.4,118.16236476877137,0.0,118.16236476877137
A011140,부침가루,A,0.6,139.0816206116355,0.0,139.0816206116355
A011150,케이크,A,1.6,131.14,0.48422602430578837,130.84946438541652
A011160,빵,A,6.8,138.47,0.42366883829926866,138.21579869702043
A011170,떡,A,1.9,129.43336661479358,0.0,129.43336661479358
A011180,파스타면,A,0.1,131.21946138485214,0.0,131.21946138485214
A012010,국산쇠고기,A,8.6,110.03725222164098,0.0,110.03725222164098
A012020,수입쇠고기,A,3.1,145.62065407615097,0.0,145.62065407615097
A012030,돼지고기,A,9.8,131.52750442628505,0.0,131.52750442628505
A012040,닭고기,A,1.5,139.4562031525821,0.0,139.4562031525821
A012050,소시지,A,2.0,120.22276136213551,0.0,120.22276136213551
A012060,햄및베이컨,A,2.7,118.82232909423035,0.0,118.82232909423035
A012070,기타육류가공품,A,0.9,140.66793697270765,-2.325520923284344,142.06324952667825
A013110,마른멸치,A,0.5,111.35244385790102,0.0,111.35244385790102
A013120,마른오징어,A,0.2,127.35883813471136,0.0,127.35883813471136
A013140,오징어채,A,0.2,144.3509814287222,0.0,144.3509814287222
A013150,북어채,A,0.4,139.70708928894192,0.0,139.70708928894192
A013160,어묵,A,0.8,125.8092908019107,0.0,125.8092908019107
A013170,맛살,A,0.2,143.54556369477612,0.0,143.54556369477612
A013180,수산물통조림,A,0.7,125.42727829619554,0.0,125.42727829619554
A013190,젓갈,A,0.7,123.15586017603991,0.0,123.15586017603991
A014010,우유,A,3.4,124.26469662846719,0.0,124.26469662846719
A014020,분유,A,0.5,113.70972869698265,-0.5111303630807621,114.01640691483111
A014030,치즈,A,0.7,144.46052434672322,0.18451857864586904,144.3498131995357
A014040,발효유,A,2.0,128.53690676806312,0.0,128.53690676806312
A014050,달걀,A,3.0,145.92184346605978,0.0,145.92184346605978
A015010,참기름,A,0.6,152.52196419042764,0.0,152.52196419042764
A015020,식용유,A,0.8,159.68295353489037,0.0,159.68295353489037
A016190,아몬드,A,0.2,110.25486958053483,0.0,110.25486958053483
A016200,과일가공품,A,1.0,143.27227517354146,0.0,143.27227517354146
A017250,고사리,A,0.1,127.54363251699394,0.0,127.54363251699394
A017270,단무지,A,0.2,128.518407985829,0.0,128.518407985829
A017280,김,A,0.5,155.03539870999296,0.0,155.03539870999296
A017290,맛김,A,0.5,134.01986166085067,0.0,134.01986166085067
A017300,미역,A,0.3,133.24900958446935,0.15636615941328103,133.15518988882138
